pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
236.025 -0.624315 -2.42026 221.154 -1.50883 0.82871 522.784 0.45987 0.811358 0.870225 0.700135 44.9144 -2.19447 0.22579 596.272 
420.967 0.621577 -2.58775 318.407 1.83324 0.144398 869.944 0.812532 0.791761 0.846572 0.774271 4.92615 -2.72877 0.141024 1018.31 
251.943 0.775574 2.55557 204.974 2.98255 -0.566152 785.009 0.595595 0.687327 0.815493 0.678327 25.1989 0.245442 0.811594 439.161 
335.163 1.67193 0.77412 257.695 1.82277 -2.57108 612.886 0.733012 0.500933 0.681123 0.711158 32.877 0.869477 0.0953564 812.508 
513.184 0.787857 -0.72602 499.75 0.190162 2.49443 1086.31 0.671615 0.376629 0.873917 0.841289 13.879 -3.04737 2.32135 1055.06 
209.393 1.12911 -2.32715 205.251 2.76414 0.974881 575.316 0.815816 0.462107 0.826616 0.547111 17.8917 -1.99003 0.337116 432.215 
216.563 -1.21932 -1.83709 203.633 1.19671 1.26062 778.667 0.673246 0.69257 0.55141 0.876567 21.5392 -0.0230437 1.28366 437.332 
348.672 -1.91094 -0.298791 290.979 0.0993401 2.78787 1052.3 0.324906 0.495826 0.888425 0.567965 20.7456 -3.05598 2.70226 695.336 
291.368 0.318048 0.183 255.313 -2.3375 -2.8959 1123.91 0.413207 0.559716 0.888234 0.834246 35.4546 2.58806 2.34237 565.062 
291.629 -0.209678 0.350101 204.376 -1.75898 -2.22685 649.694 0.458924 0.760399 0.539228 0.794665 62.1982 -3.08223 0.290741 568.747 
313.701 1.64818 0.359682 257.005 -0.0239234 -2.72588 784.508 0.791277 0.705707 0.839265 0.707941 34.4815 0.355358 0.0043239 652.343 
321.023 0.691967 0.712508 222.59 1.68711 -2.63772 616.344 0.718945 0.563663 0.828845 0.778344 107.146 -2.63365 0.00407696 672.6 
266.704 0.78242 -1.59117 233.523 -0.155521 1.41049 595.019 0.565648 0.424725 0.620254 0.801293 17.3111 2.11315 0.56273 551.244 
256.245 -2.3969 -0.614302 255.735 -1.98413 2.42678 552.283 0.45484 0.719568 0.810643 0.574551 13.9089 -1.63066 0.915849 526.526 
452.612 -0.0874388 -0.758175 420.346 -0.789285 2.21157 957.571 0.295431 0.573803 0.889651 0.782704 16.4914 -1.81613 0.886101 928.008 
304.803 1.30797 -2.02395 280.223 0.823202 1.13426 609.689 0.794154 0.765478 0.842944 0.673279 13.3905 1.78203 0.647767 600.785 
305.528 0.113241 1.80122 262.815 0.995958 -1.46043 630.902 0.719565 0.733654 0.882351 0.917429 26.8114 -1.19495 0.265476 625.069 
220.724 1.08381 -2.12854 213.095 -0.589187 0.939183 617.636 0.380509 0.614795 0.531266 0.726532 59.6624 -1.96598 0.162556 519.266 
580.909 0.209458 -0.62299 523.388 2.2103 2.46901 1714.44 0.853751 0.91907 0.902031 0.744378 93.6637 2.71839 0.199789 1114.21 
398.782 -2.16427 -3.10072 206.415 -3.07596 0.269054 637.359 0.661492 0.564575 0.741254 0.830259 48.7929 0.552429 0.283375 859.487 
332.619 -2.20627 -1.16736 247.54 -0.722767 2.06497 758.411 0.728957 0.844788 0.780475 0.797976 54.6589 1.51509 0.549873 629.566 
386.258 1.78066 -0.640497 367.664 1.81076 2.5482 771.627 0.435601 0.569497 0.684221 0.892844 25.6393 1.87878 0.669422 751.86 
220.236 0.299471 -2.47984 214.722 2.05445 1.06258 636.292 0.596227 0.496189 0.894862 0.882129 45.5319 -3.05847 0.578634 621.416 
440.088 -1.50045 2.19912 410.66 -1.58033 -0.946084 885.164 0.560627 0.806462 0.505854 0.823586 5.27748 -2.58521 1.63913 857.558 
468.905 -0.287574 -2.03077 427.382 -1.38251 1.15019 1050.14 0.654064 0.672547 0.79816 0.791736 6.79311 -0.395273 1.54547 1014.28 
265.973 -1.01684 -2.9495 213.879 1.14775 0.132296 791.214 0.77165 0.815569 0.720269 0.857246 29.1733 -2.61546 0.33404 576.799 
397.235 -1.01881 -1.79902 241.955 1.40748 1.42707 1155.51 0.701372 0.390675 0.747579 0.804675 100.72 -1.51393 0.285091 973.294 
772.726 -1.1759 2.16445 642.49 -0.776166 -1.12124 1468.23 0.792924 0.717776 0.76425 0.584047 8.62951 -0.921873 0.199366 1737.82 
285.088 0.311467 2.20493 207.989 -3.11357 -0.748683 1402.76 0.509839 0.183752 0.852452 0.394703 40.8064 -1.39013 0.453461 543.443 
228.509 -1.45039 2.69625 213.622 -1.01588 -0.517577 467.997 0.810644 0.537661 0.65322 0.742064 14.3579 -0.558873 0.0412955 477.745 
330.602 0.168085 -1.38339 203.268 0.135736 1.70278 560.213 0.269249 0.793408 0.937153 0.879989 81.8772 1.76657 0.00836786 529.973 
339.413 0.544995 0.795763 312.322 1.98647 -2.36467 835.874 0.871442 0.515566 0.767842 0.724185 20.5394 -1.7173 0.647372 717.122 
567.339 -0.32079 2.02458 474.14 -1.05209 -1.06 1122.43 0.84326 0.619627 0.806912 0.636873 19.1115 -0.573978 0.486023 1158.87 
268.692 -0.191629 0.478202 218.356 1.68963 -2.85065 725.366 0.740109 0.36057 0.870042 0.780049 52.8292 -2.56322 0.287429 511.994 
315.421 -0.379026 -1.67947 229.885 0.148826 1.60992 564.575 0.756896 0.522225 0.8148 0.88718 94.2409 1.72309 0.113162 586.223 
232.835 -0.250353 -0.507078 213.945 0.460487 2.45419 488.448 0.561772 0.717826 0.751423 0.690842 14.3562 -0.446921 0.0601563 516.922 
215.985 1.47383 -2.49744 207.919 1.74163 0.726193 445.27 0.695377 0.400542 0.832785 0.671938 19.6325 0.511626 0.214567 471.975 
281.938 1.04491 -2.02732 236.111 0.79137 1.10003 533.371 0.785574 0.851608 0.870775 0.676275 24.514 1.04968 0.0503554 550.538 
328.648 -1.5552 2.53968 319.822 0.20075 -0.664088 944.939 0.531379 0.539115 0.806046 0.789993 6.72843 1.6049 0.934788 625.578 
