pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
236.441 0.196702 -1.66444 227.853 1.25565 1.29688 540.654 0.528639 0.763184 0.631768 0.867895 14.4081 -2.53296 0.688252 488.23 
338.426 1.29557 1.45967 295.015 0.381272 -1.86034 719.829 0.585797 0.715495 0.733479 0.810656 6.37083 2.33693 0.877256 714.261 
418.155 -0.321603 -0.133252 283.311 -0.689296 2.99421 716.225 0.271037 0.679169 0.822148 0.741894 5.08103 -1.07504 0.927657 1037.92 
408.114 -1.1536 0.839242 407.238 -1.21367 -2.22584 867.286 0.410625 0.286516 0.790581 0.827448 36.0328 -2.50856 0.206206 927.266 
470.52 -1.52757 1.88954 334.506 -2.0587 -1.29266 839.235 0.559182 0.692982 0.835081 0.804689 31.4188 -1.63368 0.341017 897.646 
226.641 -1.73747 0.145295 212.633 -1.54896 -2.85151 464.932 0.598331 0.538272 0.809028 0.875085 10.7409 0.82743 0.537347 471.088 
252.153 -1.64197 0.719032 234.748 -2.12684 -2.49341 533.513 0.425598 0.798572 0.765071 0.835751 16.496 -1.64926 0.844147 470.746 
377.623 1.68348 -1.90844 247.332 0.997242 1.06439 707.671 0.338653 0.559809 0.882418 0.277573 19.8749 -1.97126 0.0628181 814.011 
605.021 1.01064 -2.67838 515.273 0.656584 0.500773 1184.56 0.396092 0.0696475 0.911474 0.789314 31.064 -1.23624 1.44214 1272.96 
229.42 -1.0162 0.354105 223.659 -0.792907 -3.10336 470.771 0.575063 0.750845 0.659821 0.779709 12.6789 3.1128 2.75869 525.274 
772.149 -1.18886 2.06037 395.953 1.52098 -0.837865 2342.92 0.224245 0.77976 0.746657 0.722821 84.8422 -0.987333 0.149468 1561.34 
307.79 -0.835336 -0.640988 250.417 -1.71225 2.68244 680.152 0.363049 0.569807 0.504082 0.852777 11.1059 1.39538 1.28706 760.472 
201.824 1.19802 -2.92544 200.032 -0.37342 0.113579 539.055 0.584979 0.799289 0.812609 0.87192 13.3793 2.60033 2.38417 446.166 
324.37 -1.76248 1.55166 225.918 2.03371 -2.19409 1846.22 0.42597 0.497759 0.701215 0.59017 15.8992 -1.01414 1.17995 748.722 
388.749 -0.545599 -0.385456 294.079 -0.0340257 2.7346 719.262 0.638306 0.524031 0.87991 0.738848 97.501 3.04134 0.285203 652.333 
251.796 0.218983 -1.08298 208.696 2.16199 1.82066 711.394 0.807939 0.290118 0.815619 0.767592 10.1353 -1.85318 0.532247 541.794 
314.273 2.43603 -1.49138 298.765 -1.21255 2.30234 1942.52 0.583073 0.622136 0.643813 0.701532 31.3066 -1.95022 0.458838 829.231 
396.914 -2.02797 0.908915 261.186 -1.23899 -2.33407 703.803 0.781623 0.812256 0.665474 0.831446 64.8576 -2.02023 0.313843 994.088 
429.821 -0.147212 1.5332 333.827 0.71828 -1.56023 848.684 0.388829 0.636564 0.786705 0.793594 67.6768 -1.56931 0.00907636 778.678 
281.879 -0.0104241 -0.917298 241.345 -1.21358 3.09085 621.165 0.173001 0.663393 0.779122 0.753913 37.71 -1.69583 0.778531 825.453 
394.275 -0.197475 2.42377 348.009 -0.689399 -0.421778 820.145 0.314512 0.750822 0.616109 0.823702 130.024 -0.386378 0.0354004 987.825 
769.37 0.929403 2.00722 767.587 -0.485327 -1.15291 1951.25 0.538363 0.706356 0.516847 0.809421 6.6199 2.74646 0.739237 1602.13 
297.691 -0.0179189 -3.0736 216.44 1.81744 0.521673 736.071 0.569438 0.288397 0.893948 0.928909 26.8007 -0.326837 0.84851 701.58 
255.42 2.85815 -0.997643 230.907 0.644544 2.55835 845.76 0.362125 0.61096 0.650874 0.813437 22.0199 0.791031 1.76732 618.032 
341.801 1.0471 -1.94486 217.443 1.71258 1.19682 614.257 0.349823 0.364428 0.828411 0.849388 11.6694 1.88574 0.688915 838.253 
338.636 1.75946 -0.465065 316.224 0.893291 2.63497 761.539 0.703253 0.289232 0.757055 0.848311 18.0185 2.94922 0.272696 644.101 
332.088 0.532077 -2.27505 215.757 -0.499939 1.06943 629.135 0.67017 0.29653 0.772447 0.910999 96.6296 0.880394 0.0138548 669.75 
