pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
663.594 0.124718 -2.57783 634.416 -0.0649531 0.535313 1340.59 0.26869 0.573482 0.806937 0.682889 9.64507 -3.08863 0.482356 1386.52 
308.979 1.62208 -0.279843 251.588 -1.54528 3.01761 1425.12 0.630752 0.629757 0.876444 0.702792 59.4452 3.02262 0.00500441 605.93 
719.117 1.17522 2.19168 701.539 -0.934429 -1.03285 2296.61 0.700952 0.784176 0.51486 0.675475 56.3933 -1.30595 0.273101 1503.11 
253.472 -0.0196306 2.59006 252.488 1.29939 -0.523428 625.975 0.666165 0.724834 0.493794 0.720347 17.9507 -2.90307 2.35154 538.797 
457.591 -1.65731 -2.97348 326.835 -1.78164 0.40815 782.011 0.708433 0.563999 0.774412 0.744872 20.1963 0.318863 0.089287 898.588 
330.349 -0.565505 -2.53959 294.94 0.802066 0.784881 789.561 0.412287 0.536753 0.727248 0.824291 15.7726 -2.54709 0.00749946 693.587 
416.156 0.197711 0.848618 305.615 1.20216 -2.48946 816.537 0.549743 0.748664 0.789925 0.749352 25.6242 -2.74813 0.258676 871.629 
286.359 0.20858 -3.06154 233.678 0.0914859 0.165606 534.665 0.701114 0.478106 0.80326 0.874538 50.4818 -0.303197 0.468803 526.691 
1163.41 -0.134597 -2.77884 674.417 1.19983 0.632668 2208.48 0.692028 0.383739 0.666344 0.729501 171.936 0.328632 0.304036 2339.47 
528.84 0.987675 1.26643 526.43 0.175088 -1.78755 1153.78 0.517438 0.848067 0.788886 0.751336 17.2824 0.959375 0.307054 1096.3 
253.536 -0.939693 -2.09693 247.706 -1.1036 1.02884 519.175 0.581945 0.435739 0.626255 0.735842 18.0729 -0.214177 1.24302 506.631 
319.566 -0.650965 0.27208 295.108 -1.11303 -2.79257 650.989 0.450382 0.569266 0.839337 0.489702 41.0329 -2.80366 0.0110955 639.376 
287.199 -1.5638 0.886558 232.147 -0.0946133 -2.14178 665.363 0.866869 0.501327 0.679011 0.472016 28.8508 -1.79319 0.348586 635.388 
359.077 -1.71855 1.73014 268.839 -3.08623 -1.4171 784.098 0.729437 0.621289 0.897982 0.663482 25.8965 2.20227 0.472132 736.982 
496.158 0.592327 0.372091 428.065 -0.213302 -2.59796 1003.26 0.55347 0.686388 0.904423 0.874712 92.885 -2.73759 0.139631 993.007 
307.963 1.06973 -0.473373 291.499 -0.319602 2.85951 768.809 0.669472 0.633865 0.792271 0.824911 29.7674 2.2391 0.620403 640.777 
340.777 0.104372 1.99208 333.858 -2.06583 -1.00821 1125.77 0.617893 0.926451 0.789669 0.955326 36.8613 -2.98261 1.8331 710.414 
306.887 0.832213 -0.256361 211.386 0.687916 2.68679 517.786 0.529713 0.701396 0.816542 0.767118 20.3481 -0.492252 0.0374485 728.328 
236.447 2.70169 1.89488 222.015 1.24844 -1.14539 594.57 0.414998 0.724487 0.600049 0.699134 38.7678 2.22676 0.230556 543.354 
312.382 0.373228 -1.23654 304.95 1.25195 2.00516 712.534 0.244833 0.752688 0.699065 0.840874 24.4026 1.22708 0.778072 631.071 
427.148 -1.11541 -2.41276 309.147 1.88591 1.01767 1715.95 0.694033 0.483161 0.788637 0.85705 22.108 1.45643 0.438765 1154.64 
322.876 0.978653 1.45921 226.055 -0.314205 -1.77372 665.537 0.715589 0.517645 0.772218 0.737691 64.4083 -1.56289 0.210838 533.969 
482.525 -0.294793 -2.0495 384.545 -0.124554 1.39846 873.572 0.495298 0.579101 0.73992 0.666326 7.97513 3.04749 1.64903 1225.78 
412.034 -1.19783 -1.26707 379.853 1.65581 1.8344 1753.6 0.564662 0.473875 0.828483 0.847311 42.4397 1.74077 0.0936254 794.345 
233.837 1.76784 -3.07145 231.872 2.33713 -0.161162 505.578 0.617013 0.794296 0.812235 0.785286 17.2021 -1.42111 1.25995 507.648 
264.84 -1.33765 -2.50394 252.675 0.459582 0.474761 749.33 0.684789 0.574791 0.895229 0.921753 51.7474 0.623648 0.148887 539.885 
